id,location,supplier,product,name,stationNumbers,taktTime,stationSwapTime,poolmachines,costFactor,inputBuffer,poolEmployeesS1,poolEmployeesS2,poolEmployeesS3,resourceType
2b2f3615_fda8_4cac_9aef_7b03ab70a504,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,955db4b6_eb53_4f70_be90_a87eee27fcf3,Algiers Belly Fairing,1,5,30,1,0.6,168,1,1,1,2
5c658fd6_53c2_4406_a98f_332c3293f8f2,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,a4b66a63_f55d_4809_9b9f_c9746badc003,Algiers Center Wingbox,1,5,30,1,0.6,168,1,1,1,2
7d09c3e1_5e7a_42b0_9029_0f872fdfc091,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,f581ed68_62e6_4946_af02_ed84d4ad1c13,Algiers Pylon Left,1,5,30,1,0.6,168,1,1,1,2
790e3bf2_637d_4eb4_b3c8_36343341825c,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,52d8bc7c_3195_4a9e_b6c1_03c687d36794,Algiers Pylon Right,1,5,30,1,0.6,168,1,1,1,2
72704eb4_db65_471f_a2fd_5b31acb80077,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,d613cd61_1d3c_430b_92e8_c8529b30315e,Algiers S1 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
d13f6e74_dcce_4eee_ad38_77441507311a,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,1dbe71c3_de17_48e2_ab8c_78fbc2a4d6d4,Algiers S1 Modules,1,5,30,1,0.6,168,1,1,1,2
d8f0b2ee_2d3d_47b9_8af1_8c4717ae15c5,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,def1aa1d_ca7d_4820_98a5_cd16b7ed3632,Algiers S1 Upper Shell,1,5,30,1,0.6,168,1,1,1,2
af06c0a1_348c_47d7_843e_2d4d2efc837f,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,f720d6ce_b29a_4e33_80d0_8423d6386743,Algiers S2 Left Shell,1,5,30,1,0.6,168,1,1,1,2
0be425b7_d77d_461a_95b7_498ca0b84ff9,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,bdcdece2_daa9_403f_a491_9887a5345a80,Algiers S2 Lower Shell,1,5,30,1,0.6,168,1,1,1,2
27470143_aca2_4b8a_becd_03beb4a98388,33773103_576d_41c8_912e_cfc3802ff34f,bd2fc30b_893e_46ed_b790_c65baf32d98e,f5663589_dba2_4894_96d5_9432b2c9f6bb,Algiers S2 Right Shell,1,5,30,1,0.6,168,1,1,1,2
