id,transportTerminal,transportRegion,country,maximumWorkshare,minimumWorkshare,latitude,longitude,costFactor,name
33773103_576d_41c8_912e_cfc3802ff34f,6d2cbcb5_78c7_4849_b531_c7774db05ed5,143db5ce_4564_48ee_915b_ca8e9767e4ef,be70398a_a030_422b_bb6b_d010c3acedf4,5,0,36.7055137316413,3.26203998909678,0.6,Algiers
abf99345_ff11_43e7_8338_7720e5023ef2,61ebc5d0_0089_47b5_96d9_3fafe2cf2037,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,48.32561155,10.87895092,1,Augsburg
a8d04bb8_c4d3_4fa2_b855_699b35c384f3,59dcaff9_1f89_4c91_8b48_76b5122f877a,32e47e9f_2289_40f7_90e5_3d888814e3b2,96d769ca_b5a0_436a_8be9_796813142a26,100,0,54.6171955822374,-5.88087254103297,1.2,Belfast
a8d04bb8_c4d3_4fa2_b855_699b35c384f3,4cbafaa2_17b3_419d_aa2c_0a38a3eb1388,32e47e9f_2289_40f7_90e5_3d888814e3b2,96d769ca_b5a0_436a_8be9_796813142a26,100,0,54.6171955822374,-5.88087254103297,1.2,Belfast
06978fe9_6fad_4591_af18_4c3cd8fcf4a0,04d3ffaa_cce5_43c5_b7ee_49c9db558ba7,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,456a8e05_9e57_4d4f_a79e_d6d43ee7f00c,5,0,45.69334,25.53395,0.7,Brasov
06978fe9_6fad_4591_af18_4c3cd8fcf4a0,f17df8ba_bf51_456d_8d4a_66123a977bdf,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,456a8e05_9e57_4d4f_a79e_d6d43ee7f00c,5,0,45.69334,25.53395,0.7,Brasov
d6b516cc_f667_415e_92f2_35f52c61fa0f,f4bce140_0d8b_48f9_a5bd_53dada58944d,1f6490b0_6d99_42b1_af9d_7816e5d6f19b,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.053373,8.789631,1.2,Bremen
d6b516cc_f667_415e_92f2_35f52c61fa0f,fc2889ff_f667_4dd1_8cc0_3a5bc092a4ae,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.053373,8.789631,1.2,Bremen
d6b516cc_f667_415e_92f2_35f52c61fa0f,fc2889ff_f667_4dd1_8cc0_3a5bc092a4ae,1f6490b0_6d99_42b1_af9d_7816e5d6f19b,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.053373,8.789631,1.2,Bremen
d6b516cc_f667_415e_92f2_35f52c61fa0f,f4bce140_0d8b_48f9_a5bd_53dada58944d,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.053373,8.789631,1.2,Bremen
3c859b46_a031_4ed9_9c8f_a7e6c1af07f3,90134a86_067e_486c_95f2_01e60ab3e0e7,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,53.172936424456,-2.97779946426384,1.3,Broughton
3c859b46_a031_4ed9_9c8f_a7e6c1af07f3,36004971_0e1a_4a6a_9a48_a70cda342177,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,53.172936424456,-2.97779946426384,1.3,Broughton
4c77f0f3_5140_4d5d_a9b1_066e75fd68ab,b22961ff_0674_4948_80a7_08acfa79c69f,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,51.8976954285296,-2.17076741056428,1.3,Cheltenham
4c77f0f3_5140_4d5d_a9b1_066e75fd68ab,2b54e17a_e674_4edc_bd1c_ac086236d72c,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,51.8976954285296,-2.17076741056428,1.3,Cheltenham
0abd52ab_0aba_493c_bde4_76a96c715c17,2c5cbbe4_9479_4316_ac77_f19e5fff3fc0,5c9f2fbc_e74f_43cc_ac7b_a1c4261cf0d3,3d1613b1_632b_4e26_a0cc_62701d34e8ee,100,0,30.703544,103.96291,1,Chengdu
84feef15_0fc7_4184_b089_7c3225646ea1,e89d09c1_91d3_478d_8938_722e3514db30,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,51.5101443700968,-2.57599809527313,1.3,Filton
84feef15_0fc7_4184_b089_7c3225646ea1,d68a1336_5b7d_4f3a_9bb2_4ec0330f0c1e,843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,96d769ca_b5a0_436a_8be9_796813142a26,100,0,51.5101443700968,-2.57599809527313,1.3,Filton
7bc864f3_7285_4abd_9a08_8be520997eab,de637fc5_1442_4fbb_8ab5_e537c04b6ea4,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,14a43373_1dac_4671_ad92_3214395bc9ec,7,0,54.3524642127045,18.6471106630414,0.6,Gdansk
7bc864f3_7285_4abd_9a08_8be520997eab,75a086b9_1061_41e8_a79d_6b616ce1d823,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,14a43373_1dac_4671_ad92_3214395bc9ec,7,0,54.3524642127045,18.6471106630414,0.6,Gdansk
acd47de8_0f7f_48c8_8060_ba7c19038d47,dd40099f_63c3_4bc5_ba45_e21783d8ec36,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,6b1b6acf_7be4_4faa_8e44_3cf2a5118bad,100,0,40.2974344,-3.708017883,0.7,Getafe
acd47de8_0f7f_48c8_8060_ba7c19038d47,ad6fc89a_a2f6_4afa_866e_f7f2785f6abb,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,6b1b6acf_7be4_4faa_8e44_3cf2a5118bad,100,0,40.2974344,-3.708017883,0.7,Getafe
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,3b88ea00_5d45_48ff_b077_304dacb0a09c,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,afea9d04_e997_445a_8c65_7b79104f045b,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,97c2dba4_d7ff_45ee_81df_2547e8853540,1f6490b0_6d99_42b1_af9d_7816e5d6f19b,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,97c2dba4_d7ff_45ee_81df_2547e8853540,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,3b88ea00_5d45_48ff_b077_304dacb0a09c,1f6490b0_6d99_42b1_af9d_7816e5d6f19b,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
dde958aa_9ba9_4b2b_b19d_5bbf8878955e,afea9d04_e997_445a_8c65_7b79104f045b,1f6490b0_6d99_42b1_af9d_7816e5d6f19b,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg
7fbe9045_8db3_4abf_99fa_b3d9532fa6aa,afea9d04_e997_445a_8c65_7b79104f045b,b320f21a_088a_40c3_bfa4_b5f2f5e4f378,8c21ef29_e296_43e4_a855_d36021203fe2,100,0,53.537327,9.847116,1.3,Hamburg FAL
