id,sourceLocation,destinationLocation,transportationResource,name,distance
b5376b87_5d9c_4a8f_aa9f_7dc51942bdb6,d3a87320_459b_45b1_875f_6662eab0a6f5,33773103_576d_41c8_912e_cfc3802ff34f,4c64b530_fed0_495d_ac8a_05ea7588071c,Algiers Harbor to Algiers by Truck Long Distance,21.8
e11267f9_0c96_4620_94d9_233ef11a672f,d3a87320_459b_45b1_875f_6662eab0a6f5,33773103_576d_41c8_912e_cfc3802ff34f,fe4de180_4453_402c_a2f9_110777b278fa,Algiers Harbor to Algiers by Truck Oversized Standard Bed,21.8
f1963c3b_beae_45c4_8c79_468823e98acf,d3a87320_459b_45b1_875f_6662eab0a6f5,33773103_576d_41c8_912e_cfc3802ff34f,578a835b_900c_438b_bd24_206240ec8e75,Algiers Harbor to Algiers by Truck Short Distance,21.8
2e73d59b_a402_44e4_bf66_f493c5835a33,d3a87320_459b_45b1_875f_6662eab0a6f5,e833fe00_098f_4e5b_9d91_92d01b7021e4,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Boston Harbor by Oversized Under Deck RoRo Ship,6505.59
b8b106c1_6061_430f_92cc_3cb7293210e4,d3a87320_459b_45b1_875f_6662eab0a6f5,e833fe00_098f_4e5b_9d91_92d01b7021e4,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Boston Harbor by Sea Large Container Ship,6505.59
8fca90a6_623d_4d40_8ae8_7182041e4d9c,d3a87320_459b_45b1_875f_6662eab0a6f5,ca1ae553_e8bd_46ee_b467_98af1b1d4b90,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Casablanca Harbor by Oversized Under Deck RoRo Ship,1172.22
6f575e41_d49d_4e7b_9700_eaae26272357,d3a87320_459b_45b1_875f_6662eab0a6f5,ca1ae553_e8bd_46ee_b467_98af1b1d4b90,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Casablanca Harbor by Sea Large Container Ship,1172.22
b5c08e10_f528_46e1_86d6_0eb46a0e0abd,d3a87320_459b_45b1_875f_6662eab0a6f5,ca1ae553_e8bd_46ee_b467_98af1b1d4b90,fe4de180_4453_402c_a2f9_110777b278fa,Algiers Harbor to Casablanca Harbor by Truck Oversized Standard Bed,1364.79
b24c4d9b_3bdc_4f1c_b63b_c0971e19bbfd,d3a87320_459b_45b1_875f_6662eab0a6f5,486b629b_4da8_491f_88b2_c7c98f3d5003,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Dunkerque Harbor by Oversized Under Deck RoRo Ship,4786.2
87b4b3db_7e5c_43c9_8341_b209bf146d7e,d3a87320_459b_45b1_875f_6662eab0a6f5,486b629b_4da8_491f_88b2_c7c98f3d5003,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Dunkerque Harbor by Sea Large Container Ship,4786.2
1c42aafd_96fd_4eae_8c64_57e2ded62dc6,d3a87320_459b_45b1_875f_6662eab0a6f5,ed302c7d_e79f_4bfe_8733_5b33360a92c5,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Felixstowe Harbor by Oversized Under Deck RoRo Ship,4688.13
241f450b_77c9_4b69_afdc_b721b7a37f58,d3a87320_459b_45b1_875f_6662eab0a6f5,ed302c7d_e79f_4bfe_8733_5b33360a92c5,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Felixstowe Harbor by Sea Large Container Ship,4688.13
124c5005_dafe_467d_8e32_812da9d72b77,d3a87320_459b_45b1_875f_6662eab0a6f5,7bc864f3_7285_4abd_9a08_8be520997eab,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Gdansk by Oversized Under Deck RoRo Ship,5475.04
d3da8e50_985c_4d1b_bc56_f4645b5c8a70,d3a87320_459b_45b1_875f_6662eab0a6f5,7bc864f3_7285_4abd_9a08_8be520997eab,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Gdansk by Sea Large Container Ship,5475.04
8f1e1677_b7af_4de1_b30c_39bd07b992f0,d3a87320_459b_45b1_875f_6662eab0a6f5,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,34e58906_4489_4bff_b20b_62efc7663d43,Algiers Harbor to Gibraltar Harbor by Oversized Under Deck RoRo Ship,790.15
aaa6ef75_52f8_45b1_98ee_4f920cb6082c,d3a87320_459b_45b1_875f_6662eab0a6f5,82d813be_ea4d_4eac_ad12_0dc0c60d83f5,0e625668_0d9d_4505_88d3_2f4c793a630e,Algiers Harbor to Gibraltar Harbor by Sea Large Container Ship,790.15
