id,name
b320f21a_088a_40c3_bfa4_b5f2f5e4f378,Continental Europe
1f6490b0_6d99_42b1_af9d_7816e5d6f19b,Elbe Weser Region
843c9eda_bb4a_4b18_bd68_5d7d50ddddc5,Great Britain
32e47e9f_2289_40f7_90e5_3d888814e3b2,Island of Ireland
ae91eedd_c02a_4b8c_829c_1e9fcd984549,Island of Taiwan
48fd463c_cfb0_47b7_8b60_282c00bd9477,Korean Peninsular
e1829aaa_9d7a_46ea_8eec_b3391405fce3,Loire-Atlantique
5c9f2fbc_e74f_43cc_ac7b_a1c4261cf0d3,Mainland China
143db5ce_4564_48ee_915b_ca8e9767e4ef,North Africa West
72657c72_ce2b_40df_8d13_424407d0d8b9,North America
a91fc44a_822b_42fe_a8d6_bb95aae7b4ba,Southeast America
